Timestamp,DetectedObjects,ViolatingObjects,EnvironmentScore
2020-08-09 08:46:52,4,2,0.92
2020-08-09 08:46:52,4,2,0.92
2020-08-09 08:46:53,4,1,0.94
2020-08-09 08:46:53,3,0,0.96
2020-08-09 08:46:54,3,0,0.96
2020-08-09 08:46:54,4,0,0.95
2020-08-09 08:46:55,4,2,0.92
2020-08-09 08:46:55,3,1,0.95
2020-08-09 08:46:56,5,2,0.91
2020-08-09 08:46:57,3,0,0.96
2020-08-09 08:46:57,5,6,0.86
2020-08-09 08:46:58,5,10,0.81
2020-08-09 08:46:58,4,1,0.94
2020-08-09 08:46:59,5,2,0.91
2020-08-09 08:46:59,4,1,0.94
2020-08-09 08:47:00,2,0,0.98
2020-08-09 08:47:00,2,0,0.98
2020-08-09 08:47:01,3,0,0.96
2020-08-09 08:47:01,4,1,0.94
2020-08-09 08:47:02,2,0,0.98
2020-08-09 08:47:02,3,0,0.96
2020-08-09 08:47:03,3,0,0.96
2020-08-09 08:47:03,4,0,0.95
2020-08-09 08:47:04,3,0,0.96
2020-08-09 08:47:04,2,0,0.98
2020-08-09 08:47:05,2,0,0.98
2020-08-09 08:47:05,3,0,0.96
2020-08-09 08:47:06,3,0,0.96
2020-08-09 08:47:06,2,0,0.98
2020-08-09 08:47:07,3,0,0.96
2020-08-09 08:47:07,3,0,0.96
2020-08-09 08:47:08,2,0,0.98
2020-08-09 08:47:08,2,0,0.98
2020-08-09 08:47:09,3,1,0.95
2020-08-09 08:47:09,3,0,0.96
2020-08-09 08:47:10,3,0,0.96
2020-08-09 08:47:10,3,1,0.95
2020-08-09 08:47:11,3,0,0.96
2020-08-09 08:47:11,4,3,0.91
2020-08-09 08:47:12,4,3,0.91
2020-08-09 08:47:12,4,3,0.91
2020-08-09 08:47:13,4,3,0.91
2020-08-09 08:47:14,5,4,0.89
2020-08-09 08:47:14,5,4,0.89
2020-08-09 08:47:15,1,0,0.99
2020-08-09 08:47:15,1,0,0.99
2020-08-09 08:47:16,1,0,0.99
2020-08-09 08:47:16,1,0,0.99
2020-08-09 08:47:17,1,0,0.99
2020-08-09 08:47:17,2,0,0.98
2020-08-09 08:47:18,2,0,0.98
2020-08-09 08:47:18,2,0,0.98
2020-08-09 08:47:19,2,0,0.98
2020-08-09 08:47:19,2,1,0.96
2020-08-09 08:47:20,2,1,0.96
2020-08-09 08:47:20,2,1,0.96
2020-08-09 08:47:21,2,1,0.96
2020-08-09 08:47:21,2,1,0.96
2020-08-09 08:47:22,1,0,0.99
2020-08-09 08:47:22,2,0,0.98
2020-08-09 08:47:23,2,0,0.98
2020-08-09 08:47:23,1,0,0.99
2020-08-09 08:47:24,1,0,0.99
2020-08-09 08:47:24,2,0,0.98
2020-08-09 08:47:25,2,0,0.98
2020-08-09 08:47:25,2,0,0.98
2020-08-09 08:47:26,4,0,0.95
2020-08-09 08:47:26,5,1,0.92
2020-08-09 08:47:27,4,0,0.95
2020-08-09 08:47:27,3,0,0.96
